test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_log_loss,model
0.6344086021505376,0.0,0.0,0.0,0.5,12.627079542225411,Dummy baseline
0.6344086021505376,0.0,0.0,0.0,0.5,12.627079542225411,Dummy baseline
0.633423180592992,0.0,0.0,0.0,0.5,12.661114797056207,Dummy baseline
0.633423180592992,0.0,0.0,0.0,0.5,12.661114797056207,Dummy baseline
0.633423180592992,0.0,0.0,0.0,0.5,12.661114797056207,Dummy baseline
0.633423180592992,0.0,0.0,0.0,0.5,12.661114797056207,Dummy baseline
0.6361185983827493,0.0,0.0,0.0,0.5,12.568018364724912,Dummy baseline
0.6361185983827493,0.0,0.0,0.0,0.5,12.56801836472491,Dummy baseline
0.6361185983827493,0.0,0.0,0.0,0.5,12.56801836472491,Dummy baseline
0.6361185983827493,0.0,0.0,0.0,0.5,12.56801836472491,Dummy baseline
0.6559139784946236,0.5217391304347826,0.7058823529411765,0.6,0.7268506979062812,0.6173183941043138,Vanilla Logistic Regression
0.6559139784946236,0.5229885057471264,0.6691176470588235,0.5870967741935483,0.72535518444666,0.6162814893975878,Vanilla Logistic Regression
0.6846361185983828,0.5555555555555556,0.6985294117647058,0.6188925081433225,0.7266896120150188,0.6233716135378697,Vanilla Logistic Regression
0.6792452830188679,0.5497076023391813,0.6911764705882353,0.6123778501628665,0.7398623279098874,0.6045183888066391,Vanilla Logistic Regression
0.660377358490566,0.5287356321839081,0.6764705882352942,0.5935483870967743,0.7285356695869838,0.6213868565079469,Vanilla Logistic Regression
0.6469002695417789,0.5146198830409356,0.6470588235294118,0.5732899022801304,0.7236389236545683,0.6149296920725333,Vanilla Logistic Regression
0.6846361185983828,0.5542168674698795,0.6814814814814815,0.6112956810631229,0.7240426867545512,0.6247665982461241,Vanilla Logistic Regression
0.6630727762803235,0.5333333333333333,0.5925925925925926,0.5614035087719299,0.6950564971751413,0.6273445503100918,Vanilla Logistic Regression
0.7088948787061995,0.5771428571428572,0.7481481481481481,0.6516129032258063,0.7876020087884494,0.5788926640471685,Vanilla Logistic Regression
0.7035040431266847,0.5748502994011976,0.7111111111111111,0.6357615894039734,0.7481952291274324,0.5999783764751508,Vanilla Logistic Regression
0.6639784946236559,0.5310734463276836,0.6911764705882353,0.6006389776357828,0.7294522681954138,0.6161719636817271,Vanilla Logistic Regression_Sub
0.6586021505376344,0.5251396648044693,0.6911764705882353,0.5968253968253968,0.7261964107676969,0.6168042551375436,Vanilla Logistic Regression_Sub
0.692722371967655,0.563953488372093,0.7132352941176471,0.6298701298701299,0.740488110137672,0.6178639170151564,Vanilla Logistic Regression_Sub
0.6765498652291105,0.5465116279069767,0.6911764705882353,0.6103896103896104,0.740691489361702,0.6056509870396823,Vanilla Logistic Regression_Sub
0.6711590296495957,0.5416666666666666,0.6691176470588235,0.5986842105263157,0.7320400500625782,0.6225447607575496,Vanilla Logistic Regression_Sub
0.6522911051212938,0.5193370165745856,0.6911764705882353,0.5930599369085173,0.7299906132665832,0.6156162878692975,Vanilla Logistic Regression_Sub
0.6792452830188679,0.55,0.6518518518518519,0.5966101694915255,0.7202605147520401,0.628032094230269,Vanilla Logistic Regression_Sub
0.6684636118598383,0.5384615384615384,0.6222222222222222,0.577319587628866,0.6941776522284997,0.6305167529322657,Vanilla Logistic Regression_Sub
0.7169811320754716,0.5852272727272727,0.762962962962963,0.662379421221865,0.7891713747645952,0.5814229797347628,Vanilla Logistic Regression_Sub
0.6981132075471698,0.5672514619883041,0.7185185185185186,0.6339869281045752,0.7534369114877589,0.6024692468957756,Vanilla Logistic Regression_Sub
0.6935483870967742,0.5542857142857143,0.7293233082706767,0.6298701298701298,0.76904080284393,0.5799876281048072,Vanilla Logistic Regression_rSub
0.6666666666666666,0.5328947368421053,0.6044776119402985,0.5664335664335665,0.7201335758183871,0.6040815342827406,Vanilla Logistic Regression_rSub
0.6549865229110512,0.5153374233128835,0.631578947368421,0.5675675675675677,0.7236526189423138,0.6016533915814982,Vanilla Logistic Regression_rSub
0.6900269541778976,0.5576923076923077,0.6541353383458647,0.6020761245674741,0.7411385606874328,0.6088498025230175,Vanilla Logistic Regression_rSub
0.7035040431266847,0.5741935483870968,0.6691729323308271,0.6180555555555556,0.7666961521450685,0.5863309120019303,Vanilla Logistic Regression_rSub
0.6469002695417789,0.5058139534883721,0.6541353383458647,0.5704918032786885,0.7088519618373665,0.6358081258893464,Vanilla Logistic Regression_rSub
0.6253369272237197,0.4810126582278481,0.5714285714285714,0.5223367697594502,0.6733272256270928,0.663708691614713,Vanilla Logistic Regression_rSub
0.6711590296495957,0.5307262569832403,0.7142857142857143,0.608974358974359,0.7418967587034815,0.5999545825574514,Vanilla Logistic Regression_rSub
0.6630727762803235,0.521505376344086,0.7293233082706767,0.6081504702194358,0.7519270866241233,0.5986415373574443,Vanilla Logistic Regression_rSub
0.6711590296495957,0.5345911949685535,0.6390977443609023,0.5821917808219178,0.7284861312946231,0.5927397985538803,Vanilla Logistic Regression_rSub
0.717741935483871,0.591715976331361,0.7352941176470589,0.6557377049180328,0.7348267696909272,0.600638370546968,Vanilla single Tree
0.6505376344086021,0.5151515151515151,0.75,0.6107784431137725,0.6835586989032901,0.6469064565261345,Vanilla single Tree
0.6711590296495957,0.5426829268292683,0.6544117647058824,0.5933333333333333,0.7253128911138923,0.6171809707882224,Vanilla single Tree
0.7277628032345014,0.6206896551724138,0.6617647058823529,0.6405693950177936,0.7240300375469336,0.5903243909804042,Vanilla single Tree
0.6765498652291105,0.5506329113924051,0.6397058823529411,0.5918367346938775,0.6897058823529412,0.6344158980927977,Vanilla single Tree
0.6145552560646901,0.48186528497409326,0.6838235294117647,0.5653495440729484,0.6924436795994994,0.6410301314271313,Vanilla single Tree
0.7088948787061995,0.5906040268456376,0.6518518518518519,0.619718309859155,0.7194130571249215,0.6090354290360765,Vanilla single Tree
0.6846361185983828,0.5616438356164384,0.6074074074074074,0.5836298932384342,0.7007532956685498,0.6226180545924671,Vanilla single Tree
0.7169811320754716,0.59375,0.7037037037037037,0.6440677966101694,0.7620998116760829,0.5778338725900098,Vanilla single Tree
0.706199460916442,0.5822784810126582,0.6814814814814815,0.6279863481228668,0.734934086629002,0.6067039141610863,Vanilla single Tree
0.5994623655913979,0.4700460829493088,0.75,0.5779036827195468,0.7001807078763709,0.6347399305668112,Vanilla single Tree_Sub
